# Canadian Kiusalas Perforation Gauge
#
# Hole sizes are incorrect -- I set them all to 1mm
#
# Hole to hole distance (gap in mm) formula:
#            gap=20/perf     -- (perf units: holes per 2cm)
#            gap=mils*0.0254 -- (mils units: thousandths of an inch)
#
#     Gap, Hole,P,Label
2.5146000,1.000,Y,99  8.0
2.2860000,1.000,Y,90  8.5
2.1082000,1.000,N,83  9.5
1.8288000,1.000,N,72 11.0
1.7780000,1.000,N,70 11.0
1.7272000,1.000,Y,68 11.5
1.7145000,1.000,N,67 12.0
1.6764000,1.000,N,66 12.0
1.6510000,1.000,Y,65 12.0
1.6256000,1.000,Y,64 12.0
1.6002000,1.000,N,63 12.5
