# New Kiusalas Perforation Gauge
#
# Hole to hole distance (gap in mm) formula:
#            gap=20/perf     -- (perf units: holes per 2cm)
#            gap=mils*0.0254 -- (mils units: thousandths of an inch)
#
#  Gap,  Hole,P,Label
2.4130,1.0668,Y,95.0  8.29
2.0574,1.0668,Y,81.0  9.72
2.0320,1.0668,Y,80.0  9.84
2.0066,1.0668,Y,79.0  9.97
1.9050,1.0668,Y,75.0 10.50
1.8542,1.0668,Y,73.0 10.79
1.8415,1.0668,Y,72.5 10.86
1.8288,1.0668,Y,72.0 10.94
1.7780,1.0668,Y,70.0 11.25
1.7018,1.0668,Y,67.0 11.75
1.6764,1.0668,Y,66.0 11.93
1.6002,0.8500,Y,63.0 12.50
1.2954,0.7000,Y,51.0 15.44
