# Traditional Kiusalas Perforation Gauge as originally published
#
# Hole to hole distance (gap in mm) formula:
#            gap=20/perf     -- (perf units: holes per 2cm)
#            gap=mils*0.0254 -- (mils units: thousandths of an inch)
#
#   Gap, Hole,P,Label
2.41300,1.000,N,95.0  8.29
2.05740,1.000,N,81.0  9.72
2.03200,1.000,N,80.0  9.84
2.00660,1.000,N,79.0  9.97
1.90500,1.000,N,75.0 10.50
1.85420,1.000,N,73.0 10.79
1.82880,1.000,N,72.0 10.94
1.77800,1.000,N,70.0 11.25
1.70180,1.000,N,67.0 11.75
1.67640,1.000,N,66.0 11.93
1.60020,0.850,N,63.0 12.50
1.29540,0.700,N,51.0 15.44
